年,月,隸屬區,里數,鄰數,戶數,男,女,合計
110,5,板橋區,126,2515,218583,270224,285951,556175
110,5,三重區,119,2564,154919,188205,195600,383805
110,5,中和區,93,2998,169202,197945,211704,409649
110,5,永和區,62,1249,91848,103574,115078,218652
110,5,新莊區,84,1842,161868,206079,216899,422978
110,5,新店區,69,1482,130536,145020,157483,302503
110,5,土城區,47,1236,89936,117063,121051,238114
110,5,蘆洲區,38,727,73696,99038,103372,202410
110,5,樹林區,42,1039,67573,91082,91767,182849
110,5,鶯歌區,20,434,32131,44001,43849,87850
110,5,三峽區,28,608,44664,58325,58383,116708
110,5,淡水區,42,698,83832,88074,96166,184240
110,5,汐止區,50,1141,91551,100102,105710,205812
110,5,瑞芳區,34,426,16160,19589,19250,38839
110,5,五股區,20,515,35018,45147,44695,89842
110,5,泰山區,17,466,28997,38480,39530,78010
110,5,林口區,17,443,49636,59671,63121,122792
110,5,八里區,10,195,15746,19813,19921,39734
110,5,深坑區,8,239,9844,11888,11886,23774
110,5,石碇區,12,107,3396,4098,3405,7503
110,5,坪林區,7,78,2557,3640,3048,6688
110,5,三芝區,13,254,9622,11541,10946,22487
110,5,石門區,9,124,4231,5909,5444,11353
110,5,金山區,15,201,7204,10298,10679,20977
110,5,萬里區,10,186,7550,10776,10779,21555
110,5,平溪區,12,120,2240,2445,1927,4372
110,5,雙溪區,12,244,3700,4541,3810,8351
110,5,貢寮區,11,202,4342,5966,5716,11682
110,5,烏來區,5,43,1911,3106,3209,6315
總計,,,1032,22376,1612493,1965640,2060379,4026019